movie_id,person_id,name,characters,cast_order,gender
5,3129,Tim Roth,Ted the Bellhop,0,2
5,3131,Antonio Banderas,Man,1,2
5,3130,Jennifer Beals,Angela,2,1
5,3125,Madonna,Elspeth,3,1
5,3141,Marisa Tomei,Margaret,4,1
5,62,Bruce Willis,Leo,5,2
5,138,Quentin Tarantino,Chester Rush,6,2
5,3122,Sammi Davis,Jezebel,7,1
5,3123,Amanda de Cadenet,Diana,8,1
5,3124,Valeria Golino,Athena,9,1
5,3127,Lili Taylor,Raven,10,1
5,2545,Lawrence Bender,Long Hair Yuppy Scum,11,2
5,3126,Ione Skye,Eva,12,1
5,3128,Alicia Witt,Kiva,13,1
5,2555,David Proval,Siegfried,14,2
11,2,Mark Hamill,Luke Skywalker,0,2
11,3,Harrison Ford,Han Solo,1,2
11,4,Carrie Fisher,Princess Leia Organa,2,1
11,5,Peter Cushing,Grand Moff Tarkin,3,2
11,12248,Alec Guinness,"Obi-Wan ""Ben"" Kenobi",4,2
11,6,Anthony Daniels,See Threepio (C-3PO),5,2
11,130,Kenny Baker,Artoo-Detoo (R2-D2),6,2
11,24343,Peter Mayhew,Chewbacca,7,2
11,24342,David Prowse,Darth Vader,8,2
11,15152,James Earl Jones,Voice of Darth Vader (voice),9,0
11,33032,Phil Brown,Uncle Owen,10,2
11,131625,Shelagh Fraser,Aunt Beru,11,1
11,132538,Jack Purvis,Chief Jawa,12,2
11,69249,Eddie Byrne,General Willard,13,2
11,47698,Denis Lawson,Red Two (Wedge),14,2
12,13,Albert Brooks,Marlin (voice),0,2
12,14,Ellen DeGeneres,Dory (voice),1,1
12,12,Alexander Gould,Nemo (voice),2,2
12,5293,Willem Dafoe,Gill (voice),3,2
12,18,Brad Garrett,Bloat (voice),4,2
12,19,Allison Janney,Peach (voice),5,1
12,6168,Austin Pendleton,Gurgle (voice),6,2
12,17401,Stephen Root,Bubbles (voice),7,2
12,14723,Vicki Lewis,Deb / Flo (voice),8,1
12,7911,Joe Ranft,Jacques (voice),9,0
12,118,Geoffrey Rush,Nigel (voice),10,2
12,7,Andrew Stanton,Crush (voice),11,2
12,20,Elizabeth Perkins,Coral (voice),12,1
12,981048,Nicholas Bird,Squirt (voice),13,2
12,10,Bob Peterson,Mr. Ray (voice),14,2
13,31,Tom Hanks,Forrest Gump,0,2
13,32,Robin Wright,Jenny Curran,1,1
13,33,Gary Sinise,Lt. Dan Taylor,2,2
13,34,Mykelti Williamson,Pvt. Benjamin Buford 'Bubba' Blue,3,2
13,35,Sally Field,Mrs. Gump,4,1
13,37821,Michael Conner Humphreys,Young Forrest Gump,5,2
13,204997,Hanna Hall,Young Jenny Curran,6,1
13,9640,Haley Joel Osment,Forrest Gump Jr.,7,2
13,6751,Siobhan Fallon,School Bus Driver,8,1
13,37825,Afemo Omilami,Drill Sergeant,9,2
13,37822,Peter Dobson,Young Elvis Presley,10,2
13,37823,Sonny Shroyer,College Football Coach,11,2
13,951881,George Kelly,Barber,12,2
13,36221,Sam Anderson,Principal,13,2
13,1215432,Margo Moorer,Louise,14,0
14,1979,Kevin Spacey,Lester Burnham,0,2
14,516,Annette Bening,Carolyn Burnham,1,1
14,2155,Thora Birch,Jane Burnham,2,1
14,8210,Wes Bentley,Ricky Fitts,3,2
14,8211,Mena Suvari,Angela Hayes,4,1
14,2955,Chris Cooper,Colonel Frank Fitts,5,2
14,2154,Scott Bakula,Jim Olmeyer,6,2
14,8212,Peter Gallagher,Buddy Kane,7,2
14,19,Allison Janney,Barbara Fitts,8,1
14,8213,Sam Robards,Jim Berkley,9,2
14,8214,Barry Del Sherman,Brad Dupree,10,2
14,68842,John Cho,Sale House Man #1,11,2
14,1658382,Hal Fort Atkinson,Sale House Man #2,12,2
14,9634,Kent Faulcon,Sale House Man #3,13,2
14,64189,Ara Celi,Sale House Woman #1,14,1
16,47,Björk,Selma Jezkova,0,1
16,50,Catherine Deneuve,Kathy,1,1
16,52,David Morse,Bill Houston,2,2
16,53,Peter Stormare,Jeff,3,2
16,6748,Joel Grey,Oldrich Novy,4,2
16,2617,Cara Seymour,Linda Houston,5,1
16,6749,Vladica Kostic,Gene Jezkova,6,0
16,1642,Jean-Marc Barr,Norman,7,2
16,6750,Vincent Paterson,Samuel,8,0
16,6751,Siobhan Fallon,Brenda,9,1
16,6752,Zeljko Ivanek,District Attorney,10,2
16,1646,Udo Kier,Dr. Porkorny,11,2
16,6121,Jens Albinus,Morty,12,2
16,6753,Reathel Bean,Judge,13,0
16,6754,Mette Berggreen,Receptionist,14,0
18,62,Bruce Willis,Korben Dallas,0,2
18,64,Gary Oldman,Jean-Baptiste Emmanuel Zorg,1,2
18,65,Ian Holm,Father Vito Cornelius,2,2
18,63,Milla Jovovich,Leeloo,3,1
18,66,Chris Tucker,Ruby Rhod,4,2
18,8395,Luke Perry,Billy,5,2
18,591,Brion James,General Munro,6,2
18,8396,Tom Lister Jr.,President Lindberg,7,2
18,12835,Vin Diesel,Finger (voice),8,2
18,7400,Lee Evans,Fog,9,2
18,8397,Charlie Creed-Miles,David,10,2
18,183500,Tricky,Right Arm,11,2
18,12642,John Neville,General Staedert,12,2
18,8398,John Bluthal,Professor Pacoli,13,2
18,2406,Mathieu Kassovitz,Mugger,14,2
19,75,Brigitte Helm,Maria,0,1
19,73,Alfred Abel,Johann 'Joh' Fredersen,1,2
19,74,Gustav Fröhlich,Freder Fredersen,2,2
19,77,Rudolf Klein-Rogge,"C.A. Rotwang, the inventor",3,2
19,78,Fritz Rasp,Der Schmale,4,2
19,79,Theodor Loos,Josaphat - Joseph,5,0
19,80,Erwin Biswanger,No. 11811 - Georgy,6,2
19,81,Heinrich George,Grot,7,2
19,82,Olaf Storm,Jan,8,2
19,2350,Helene Weigel,Arbeiterfrau,9,2
19,20534,Margarete Lanner,Frau im Wagen,10,1
19,83,Hanns Leo Reich,Marinus,11,0
19,20535,Fritz Alberti,Kreativer Mensch,12,0
19,20533,Heinrich Gotho,Zeremonienmeister,13,2
19,47173,Grete Berger,Working Woman (uncredited),14,1
20,98,Sarah Polley,Ann,0,1
20,99,Amanda Plummer,Laurie,1,1
20,100,Scott Speedman,Don,2,2
20,101,Leonor Watling,Neighbor Ann,3,1
20,102,Deborah Harry,Ann's Mother,4,1
20,103,Mark Ruffalo,Lee,5,2
20,2319,Maria de Medeiros,Hairdresser,6,1
20,2320,Julian Richings,Dr. Thompson,7,2
20,2321,Jessica Amlee,Penny,8,1
20,2322,Kenya Jo Kennedy,Patsy,9,0
20,2323,Camille Martinez,Camille Martínez,10,0
20,658,Alfred Molina,Ann's Father,11,2
22,85,Johnny Depp,Captain Jack Sparrow,0,2
22,118,Geoffrey Rush,Captain Hector Barbossa,1,2
22,114,Orlando Bloom,Will Turner,2,2
22,116,Keira Knightley,Elizabeth Swann,3,1
22,1709,Jack Davenport,Commodore James Norrington,4,2
22,378,Jonathan Pryce,Governor Weatherby Swann,5,2
22,2449,Kevin McNally,Joshamee Gibbs,6,2
22,8691,Zoe Saldana,Anamaria,7,1
22,1710,Lee Arenberg,Pintel,8,2
22,1711,Mackenzie Crook,Ragetti,9,2
22,1712,Damian O'Hare,Lieutenant Gillette,10,0
22,12802,Treva Etienne,Koehler,11,2
22,1716,Michael Berry Jr.,Twigg,12,0
22,1715,David Bailie,Cotton,13,2
22,21700,Christopher S. Capp,Cotton's Parrot (voice),14,2
24,139,Uma Thurman,Beatrix 'The Bride' Kiddo,0,1
24,140,Lucy Liu,O-Ren Ishii,1,1
24,2535,Vivica A. Fox,Vernita Green,2,1
24,589,Daryl Hannah,Elle Driver,3,1
24,141,David Carradine,Bill,4,2
24,147,Michael Madsen,Budd,5,2
24,2539,Julie Dreyfus,Sofie Fatale,6,1
24,2538,Chiaki Kuriyama,Gogo Yubari,7,1
24,2537,Sonny Chiba,Hattori Hanzo,8,2
