movie_id,person_id,name,department,job,gender
5,3110,Allison Anders,Directing,Director,1
5,3111,Alexandre Rockwell,Directing,Director,2
5,2294,Robert Rodriguez,Directing,Director,0
5,138,Quentin Tarantino,Directing,Director,2
5,71901,Douglas Aarniokoski,Directing,First Assistant Director,2
5,1120536,Fernando Altschul,Directing,First Assistant Director,0
5,1342669,Jayne-Ann Tenggren,Directing,Script Supervisor,0
5,3118,Russell Gray,Production,Casting,2
5,20540,Randi Hiller,Production,Casting Associate,1
5,37333,Heidi Vogel,Production,Co-Producer,0
5,37334,Paul Hellerman,Production,Co-Producer,2
5,37335,Scott Lambert,Production,Co-Producer,0
5,3111,Alexandre Rockwell,Production,Executive Producer,2
5,138,Quentin Tarantino,Production,Executive Producer,2
5,1401374,Robert Earl Craft,Production,Location Manager,0
5,2545,Lawrence Bender,Production,Producer,2
5,1877380,Deborah Hebert,Production,Production Accountant,0
5,1402054,Dawn Todd Curfman,Production,Production Coordinator,0
5,37334,Paul Hellerman,Production,Production Manager,2
5,64744,Debbie Hayn-Cass,Production,Production Supervisor,0
5,64744,Debbie Hayn-Cass,Production,Unit Production Manager,0
5,3110,Allison Anders,Writing,Writer,1
5,3111,Alexandre Rockwell,Writing,Writer,2
5,2294,Robert Rodriguez,Writing,Writer,0
5,138,Quentin Tarantino,Writing,Writer,2
11,1,George Lucas,Directing,Director,2
11,3176,Vic Ramos,Production,Casting,2
11,390,Irene Lamb,Production,Casting,1
11,1221,Dianne Crittenden,Production,Casting,1
11,1,George Lucas,Production,Executive Producer,2
11,12401,Gary Kurtz,Production,Producer,2
11,19801,Rick McCallum,Production,Producer,0
11,7727,Phil Tippett,Visual Effects,Animation,2
11,1424133,Paul Huston,Visual Effects,Visual Effects,0
11,1,George Lucas,Writing,Writer,2
12,8,Lee Unkrich,Directing,Co-Director,2
12,7,Andrew Stanton,Directing,Director,2
12,76590,Jinko Gotoh,Production,Associate Producer,0
12,7903,Mary Hidalgo,Production,Casting,1
12,57673,Kevin Reher,Production,Casting,2
12,61419,Matthew Jon Beck,Production,Casting,2
12,7879,John Lasseter,Production,Executive Producer,2
12,9,Graham Walters,Production,Producer,2
12,1556631,Nephi Sanchez,Production,Production Accountant,0
12,72753,Lindsey Collins,Production,Production Manager,0
12,7912,Marcia Gwendolyn Jones,Production,Production Supervisor,0
12,7929,Angus MacLane,Visual Effects,Animation,0
12,8013,Andrew Gordon,Visual Effects,Animation,0
12,8042,Andy Schmidt,Visual Effects,Animation,0
12,1140576,Michael Parks,Visual Effects,Animation,0
12,8012,Alan Barillaro,Visual Effects,Animation Director,0
12,1092247,Mark A. Walsh,Visual Effects,Animation Director,0
12,8059,Jenni Tsoi,Visual Effects,Animation Manager,0
12,7943,Glenn Kim,Visual Effects,CG Painter,0
12,7944,Laura Phillips,Visual Effects,CG Painter,0
12,7946,Jamie Frye,Visual Effects,CG Painter,0
12,7948,Yvonne Herbst,Visual Effects,CG Painter,0
12,7972,Andrea Warren,Visual Effects,CG Painter,0
12,1516157,Bert Berry,Visual Effects,CG Painter,0
12,1623548,Dan Lee,Visual Effects,Character Designer,0
12,8058,Paul Mendoza,Visual Effects,Fix Animator,0
12,1719095,Chris DiGiovanni,Visual Effects,Fix Animator,0
12,7891,Dominique Louis,Visual Effects,Visual Development,2
12,7925,Geefwee Boedoe,Visual Effects,Visual Development,0
12,7963,Carter Goodrich,Visual Effects,Visual Development,0
12,7967,Peter DeSeve,Visual Effects,Visual Development,0
12,1260745,Tony Fucile,Visual Effects,Visual Development,2
12,1335873,George Hull,Visual Effects,Visual Development,0
12,1451236,Bruce Zick,Visual Effects,Visual Development,0
12,1759722,Mark Whiting,Visual Effects,Visual Development,0
12,1830810,D.J. Cleland-Hura,Visual Effects,Visual Development,0
12,1830811,Simon Varela,Visual Effects,Visual Development,0
12,7,Andrew Stanton,Writing,Original Story,2
12,7,Andrew Stanton,Writing,Screenplay,2
12,10,Bob Peterson,Writing,Screenplay,2
12,11,David Reynolds,Writing,Screenplay,2
12,7924,Nathan Stanton,Writing,Story,0
12,21198,Peter Sohn,Writing,Story,2
12,32535,Jim Capobianco,Writing,Story,0
12,61747,Bruce Morris,Writing,Story,0
12,1457647,Joe Ekers,Writing,Story,0
12,225975,Bosco Ng,Writing,Storyboard,0
12,1236458,Ronnie del Carmen,Writing,Storyboard,2
13,10955,Cherylanne Martin,Directing,Assistant Director,0
13,13930,Bruce Moriarty,Directing,Assistant Director,2
13,24,Robert Zemeckis,Directing,Director,2
13,1434225,Susan Malerstein,Directing,Script Supervisor,0
13,2242,Ellen Lewis,Production,Casting,1
13,15004,Charles Newirth,Production,Co-Producer,0
13,1391604,Peggy Pridemore,Production,Location Manager,0
13,1447010,Amy Ness,Production,Location Manager,0
13,1447011,Mary Morgan,Production,Location Manager,1
13,28,Wendy Finerman,Production,Producer,1
13,29,Steve Tisch,Production,Producer,2
13,30,Steve Starkey,Production,Producer,2
13,1368867,Allen Hall,Visual Effects,Special Effects Supervisor,0
13,1386913,Greg Maloney,Visual Effects,Visual Effects,0
13,42268,Debbie Denise,Visual Effects,Visual Effects Producer,0
13,42269,Ken Ralston,Visual Effects,Visual Effects Supervisor,0
13,26,Winston Groom,Writing,Novel,2
13,27,Eric Roth,Writing,Screenplay,2
14,1002623,Tony Adler,Directing,Assistant Director,2
14,1530090,Rosemary C. Cremona,Directing,Assistant Director,0
14,39,Sam Mendes,Directing,Director,2
14,1341865,Ana Maria Quintana,Directing,Script Supervisor,1
14,1457833,Marilyn Giardino,Directing,Script Supervisor,0
14,495,Debra Zane,Production,Casting,1
14,494,Terri Taylor,Production,Casting,1
14,2152,Alan Ball,Production,Co-Producer,2
14,51689,Stan Wlodkowski,Production,Co-Producer,2
14,1753775,Christine Bonnem,Production,Location Manager,1
14,8215,Bruce Cohen,Production,Producer,2
14,8216,Dan Jinks,Production,Producer,2
14,1586941,Janet Lonsdale,Production,Production Accountant,0
14,74536,Christa Vausbinder,Production,Production Coordinator,1
14,91173,Deborah Ricketts,Production,Researcher,0
14,1121874,Cristen Carr Strubbe,Production,Unit Production Manager,0
14,1585014,Ralph Merzbach,Visual Effects,24 Frame Playback,0
14,1557497,John Cassella,Visual Effects,3D Artist,0
14,1753782,Olivier Sarda,Visual Effects,Digital Compositors,0
14,1569847,Paula Bonhomme,Visual Effects,Visual Effects Coordinator,0
14,1404846,Jonathan F. Styrlund,Visual Effects,Visual Effects Producer,0
14,1413100,Janet Yale,Visual Effects,Visual Effects Producer,0
14,1399063,Rob Hodgson,Visual Effects,Visual Effects Supervisor,0
14,1445885,David Goldberg,Visual Effects,Visual Effects Supervisor,0
14,2152,Alan Ball,Writing,Author,2
14,2152,Alan Ball,Writing,Screenplay,2
14,1632585,Tony Chance,Writing,Storyboard,2
16,1634,Anders Refn,Directing,Assistant Director,0
16,1335599,Caroline Sascha Cogez,Directing,Assistant Director,0
16,42,Lars von Trier,Directing,Director,2
16,2952,Avy Kaufman,Production,Casting,1
