movie_id,title,original_title,original_language,overview,tagline,status,homepage,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,profit,roi,release_year,release_month,vote_weighted
5,Four Rooms,Four Rooms,en,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Released,,4000000.0,4300000.0,98.0,22.87623,6.5,530,1995-12-09,300000.0,0.075,1995.0,12.0,6.302
11,Star Wars,Star Wars,en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"A long time ago in a galaxy far, far away...",Released,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11000000.0,775398007.0,121.0,126.393695,8.1,6624,1977-05-25,764398007.0,69.49072790909091,1977.0,5.0,7.9591
12,Finding Nemo,Finding Nemo,en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","There are 3.7 trillion fish in the ocean, they're looking for one.",Released,http://movies.disney.com/finding-nemo,94000000.0,940335536.0,100.0,85.688789,7.6,6122,2003-05-30,846335536.0,9.003569531914893,2003.0,5.0,7.4862
13,Forrest Gump,Forrest Gump,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Released,,55000000.0,677945399.0,142.0,138.133331,8.2,7927,1994-07-06,622945399.0,11.326279981818182,1994.0,7.0,8.0749
14,American Beauty,American Beauty,en,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",Look closer.,Released,http://www.dreamworks.com/ab/,15000000.0,356296601.0,122.0,80.878605,7.9,3313,1999-09-15,341296601.0,22.753106733333333,1999.0,9.0,7.6629
16,Dancer in the Dark,Dancer in the Dark,en,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",You don't need eyes to see.,Released,,12800000.0,40031879.0,140.0,22.022228,7.6,377,2000-05-17,27231879.0,2.127490546875,2000.0,5.0,6.7403
18,The Fifth Element,The Fifth Element,en,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",There is no future without it.,Released,,90000000.0,263920180.0,126.0,109.528572,7.3,3885,1997-05-07,173920180.0,1.9324464444444445,1997.0,5.0,7.1623
19,Metropolis,Metropolis,de,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",There can be no understanding between the hands and the brain unless the heart acts as mediator.,Released,,92620000.0,650422.0,153.0,32.351527,8.0,657,1927-01-10,-91969578.0,-0.9929775210537681,1927.0,1.0,7.1755
20,My Life Without Me,My Life Without Me,en,A Pedro Almodovar production in which a fatally ill mother with only two months to live creates a list of things she wants to do before she dies with out telling her family of her illness.,,Released,http://www.clubcultura.com/clubcine/clubcineastas/isabelcoixet/mividasinmi/index.htm,,9726954.0,106.0,7.958831,7.2,77,2003-03-07,,,2003.0,3.0,6.24
22,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,en,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",Prepare to be blown out of the water.,Released,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,140000000.0,655011224.0,143.0,271.972889,7.5,6985,2003-07-09,515011224.0,3.6786516,2003.0,7.0,7.406
